Target	a1	a2	a3	a4	a5
bureau	office	desk	marriage	information	investigation
burger	ham	master	beef	town	mayor
burglary	theft	alarm	thief	robbery	steal
bush	tree	baby	fire	radio	shrub
bushes	trees	leaves	birds	green	garden
business	man	money	work	deal	job
buttercup	daisy	flower	yellow	field	butter
butterfly	moth	cabbage	net	insect	wing
buttons	bows	coat	thread	holes	shirt
butty	jam	bread	sandwich	chip	liverpool
buy	sell	money	clothes	shop	spend
buying	selling	money	shopping	clothes	shop
cabby	taxi	driver	car	horse	london
cabin	cruiser	ship	log	boy	hut
cabinet	minister	maker	government	wood	cupboard
cactus	plant	desert	flower	prickly	prickles
calf	cow	leg	veal	muscle	young
camel	hump	desert	hair	cigarettes	horse
campus	university	america	plain	field	college
cancerous	growth	disease	death	lung	breast
candlestick	maker	candle	light	wax	silver
cans	tins	beer	beans	tin	bottles
canvas	tent	painting	paint	bag	sheet
cap	hat	head	school	hand	gown
cape	horn	town	cloak	coat	cod
car	wheel	driver	bus	drive	lorry
cardboard	box	paper	brown	cupboard	soft
carefully	carelessly	slowly	care	done	gently
caress	stroke	love	kiss	fondle	hand
carnations	flowers	red	pink	flower	weddings
carriage	horse	coach	horses	cart	car
carrot	donkey	rabbit	vegetable	orange	red
carrots	red	donkey	onions	orange	vegetable
carving	wood	knife	meat	sculpture	cutting
cases	boxes	bags	leather	luggage	packing
caster	sugar	oil	chair	wheel	armchair
castle	hill	moat	air	rock	battlements
caterpillar	butterfly	tractor	green	legs	crawl
cats	dogs	mice	black	eyes	fur
celebration	party	birthday	dinner	christmas	drink
censored	film	cut	films	sex	x
cent	dollar	dime	america	money	penny
cerebrum	brain	head	cerebellum	cortex	hemisphere
chaff	wheat	rub	straw	corn	sore
chairs	tables	seats	table	legs	sit
champagne	drink	bubbles	cork	cocktail	france
championship	cup	race	win	winner	tennis
channel	english	tunnel	water	sea	island
chap	bloke	man	fellow	boy	sore
chaps	blokes	fellows	boys	men	fellas
char	lady	woman	tea	burn	bucket
character	personality	person	study	actor	face
characteristics	features	face	personality	facial	good
charisma	what	leader	india	picture	aura
charity	home	money	sweet	walk	appeal
cheer	good	up	beer	clap	football
cheese	cheddar	bread	cheshire	biscuits	cake
cherry	tree	red	blossom	stone	orchard
cherubs	angels	angel	heaven	seraphim	chubby
chicken	hen	egg	shack	food	duck
chief	indian	head	boss	leader	main
child	adult	baby	young	small	infant
childbirth	pain	pregnancy	baby	mother	life
chill	cold	wind	cool	ice	flu
chimneys	smoke	pots	sweep	stacks	roofs
chin	nose	beard	face	double	up
china	tea	clay	japan	mao	cup
chivalry	knight	knights	horse	horses	cavalry
chloride	sodium	salt	water	chemical	chemistry
chocolate	bar	sweet	biscuit	drink	milk
choose	pick	decide	select	choice	loose
choppy	sea	rough	waves	seas	water
chunk	piece	lump	meat	bit	hunk
church	steeple	spire	choir	service	sunday
cigar	smoke	cigarette	havana	light	lighter
cinema	film	films	picture	pictures	flicks
circle	round	square	dot	ring	shape
cities	towns	london	people	large	big
citrus	fruit	lemon	fruits	acid	bitter
class	school	room	distinction	first	one
classics	books	latin	greek	music	art
claustrophobia	room	space	fear	agoraphobia	cupboard
clear	water	bright	crystal	sky	day
clerk	office	bank	desk	pen	scribe
client	customer	lawyer	patient	solicitor	person
cliff	hanger	richard	sea	fall	edge
cliffs	dover	sea	rocks	white	chalk
climber	mountain	mountaineer	rock	rope	fall
clinical	hospital	clean	doctor	thermometer	white
clip	paper	hair	ear	board	tie
cloak	dagger	room	coat	black	cold
clock	time	tick	wall	face	watch
clocks	time	tick	watches	hands	ticks
closed	open	shut	shop	door	bank
closeness	near	nearness	proximity	warmth	love
closer	nearer	near	farther	opener	together
clot	blood	idiot	fool	cream	me
cloud	sky	rain	burst	dark	nine
clubs	golf	spades	cards	hearts	strip
coach	bus	trip	horses	train	car
coagulate	blood	stick	clot	milk	congeal
coal	fire	black	mine	board	coke
coast	sea	line	shore	guard	sand
cocktail	party	drink	stick	cabinet	shaker
coexistence	together	peace	living	marriage	live
coffins	death	dead	bodies	boxes	wood
coin	money	penny	phrase	silver	slot
coins	money	pennies	penny	collection	fountain
colonies	british	empire	america	abroad	africa
column	nelson	row	pillar	line	newspaper
comb	hair	brush	tooth	paper	teeth
come	go	here	back	again	home
comedian	funny	laugh	joke	clown	comic
comfort	chair	home	ease	bed	luxury
comforts	home	bed	luxuries	chair	luxury
comic	strip	funny	beano	book	opera
committee	meeting	member	chairman	group	room
communism	red	russia	marx	china	fascism
companionship	friend	friends	friendship	love	female
company	friends	limited	director	crowd	people
compel	force	make	must	order	comply
conceived	born	baby	child	thought	pregnant
concern	worry	care	help	pity	anxiety
concrete	clay	hard	building	cement	mixer
condemnation	hang	accuse	damn	death	judge
condition	state	good	bad	ill	reflex
conditions	weather	bad	good	poor	rules
conference	talk	meeting	hall	room	people
congregate	church	gather	meet	collect	group
congregation	church	people	chapel	gathering	meeting
connect	join	disconnect	wire	wires	with
connections	links	friends	wires	train	trains
conscious	unconscious	awake	aware	alive	mind
consent	agree	allow	give	marriage	yes
consider	think	it	this	contemplate	me
considerate	kind	person	thoughtful	good	helpful
consideration	thought	kind	kindness	love	money
constable	police	policeman	painting	helmet	cop
constructed	built	made	building	bridge	build
consume	eat	food	devour	burn	alcohol
contented	happy	satisfied	cow	pleased	cat
contention	bone	happy	idea	belief	fight
contrary	opposite	against	mary	awkward	wise
conveniences	public	toilets	bogs	bog	loos
conventional	conservative	dress	straight	unconventional	usual
convulse	laughter	fit	laugh	sick	
cooking	food	fat	pot	eating	smell
cop	robber	police	policeman	shop	blue
copper	kettle	brass	penny	policeman	fuzz
copy	book	cheat	cat	type	right
cor	blimey	anglais	apple	crow	what
coral	reef	island	sea	necklace	beads
corns	feet	foot	toe	toes	bunions
coronet	crown	king	queen	yoghurt	gold
corrupt	bad	evil	society	vice	hurt
couches	beds	bed	cushions	sleep	sofas
could	would	not	be	might	should
council	county	house	meeting	town	chamber
counter	shop	against	attack	clerk	desk
countryside	green	fields	farm	town	trees
courts	tennis	law	justice	judge	criminal
cover	up	book	girl	hide	over
covered	wagon	hidden	over	uncovered	up
covet	want	hold	desire	envy	keep
cow	milk	bull	field	udder	calf
coward	noel	yellow	hero	brave	bully
cowherd	shepherd	cows	cow	goat	sheep
cows	milk	sheep	field	bulls	fields
cox	boat	apple	rowing	box	row
crab	apple	sea	lobster	fish	tree
crabs	sea	fish	apples	claws	lobsters
cracker	christmas	biscuit	jack	cheese	barrel
cracks	breaks	jokes	wall	ceiling	walls
cravat	tie	scarf	neck	smart	caravan
creases	trousers	folds	iron	presses	pleats
crests	waves	wave	shield	birds	breasts
cretinous	stupid	fool	idiot	creep	cretin
crew	ship	boat	cut	men	sailor
crib	cheat	baby	jesus	cradle	copy
cricket	bat	ball	game	match	pitch
croak	frog	throat	groan	toad	crow
crocus	flower	bulb	spring	yellow	plant
cropper	fall	come	skinhead	accident	barber
cropping	hair	up	cutting	grass	haircut
crossing	level	zebra	road	railway	over
crossword	puzzle	telegraph	newspaper	paper	times
crowded	room	full	people	tube	place
crucible	chemistry	dish	play	fire	lid
cruise	ship	boat	sea	liner	mediterranean
crying	tears	baby	laughing	out	child
crystal	ball	glass	clear	palace	lattice
crystals	clear	chemistry	salt	glass	sugar
cub	lion	scout	wolf	bear	fox
curtain	rail	window	call	iron	ring
cushion	soft	chair	pin	pillow	seat
customs	excise	officer	duty	habits	official
cutlet	lamb	fish	veal	meat	chop
cylindrical	round	tube	shape	can	pipe
d	e	day	time	line	alphabet
dad	mum	father	mother	man	army
dam	water	busters	blast	river	buster
damp	wet	cold	rot	walls	wall
danger	red	man	fear	road	safe
dark	light	night	fear	black	bright
darling	dear	love	girl	lover	woman
day	night	light	time	dream	break
days	nights	weeks	week	years	night
dean	faculty	university	martin	church	head
dearest	nearest	love	darling	friend	mother
dearth	lack	earth	hearth	death	excess
deceit	lie	cheat	deceive	deception	dishonest
deceive	lie	cheat	deceit	trick	hide
decent	indecent	good	clean	man	nice
decision	make	making	mind	action	choice
decoration	christmas	medal	wallpaper	paint	paper
decree	nisi	order	law	degree	divorce
deed	good	will	poll	act	done
deer	forest	stalker	doe	park	antelope
defend	attack	protect	fight	help	lawyer
delay	wait	stop	train	time	action
deliberate	mistake	purpose	think	meant	definite
delinquent	juvenile	youth	boy	child	adolescent
denial	no	lie	refusal	self	court
dense	thick	fog	forest	jungle	head
dentist	teeth	pain	chair	tooth	drill
dentists	teeth	chair	pain	drill	fear
depart	leave	go	arrive	station	train
departs	leaves	train	goes	from	arrives
dependent	relative	independent	child	family	mother
desk	chair	table	work	pen	sit
destructive	bomb	destroy	break	vandal	child
detail	small	minute	art	finicky	drawing
determination	grit	will	guts	try	effort
devalue	pound	money	lose	currency	decrease
devil	hell	god	evil	horns	satan
diagonal	line	across	square	lines	rectangle
dictatorship	hitler	franco	castro	spain	fascist
difficulty	hard	easy	ease	trouble	work
digger	spade	aussie	australian	gold	australia
digit	finger	number	one	computer	thumb
dilation	pupil	eye	eyes	pupils	expand
dim	light	bright	thick	dark	wit
disagree	argue	agree	argument	fight	with
disagreeable	unpleasant	nasty	agreeable	bad	dislike
disallow	goal	stop	forbid	allow	foul
disappear	vanish	appear	gone	go	hide
disapprove	dislike	frown	approve	disagree	against
disbelieve	lie	god	believe	doubt	liar
discontinue	stop	end	finish	cease	continue
discotheque	dance	noise	records	lights	music
discuss	talk	argue	debate	argument	nothing
disgust	hate	sick	revolt	shame	ugh
dish	plate	cloth	fish	food	washer
dismiss	go	sack	army	leave	reject
distance	far	mile	miles	long	length
distaste	dislike	food	hate	nasty	bad
distress	signal	worry	cry	help	pain
diverse	different	obscure	varied	various	many
dock	ship	bay	ships	green	leaf
doctrine	dogma	church	teaching	religion	belief
dodgems	cars	fair	bump	car	fun
domestic	help	home	house	servant	cat
dominant	male	recessive	powerful	bossy	master
donkey	ass	mule	horse	cart	ears
doodling	drawing	pen	scribble	draw	bored
door	open	handle	window	knob	shut
dose	medicine	sleep	drug	salts	pills
double	single	two	treble	trouble	twice
doubt	fear	worry	certainty	disbelieve	doubtful
doze	sleep	off	tired	chair	nap
dr	who	medicine	no	spock	doctor
drawer	chest	cupboard	clothes	desk	pants
dress	coat	clothes	up	girl	suit
dresser	table	welsh	hair	wardrobe	mirror
drinker	beer	drunk	pub	booze	boozer
dripping	wet	fat	lard	bread	tap
drive	car	in	mad	away	carefully
drivers	cars	lorries	mad	women	bad
drunk	beer	sober	drink	glass	happy
drunkenness	beer	drink	stupor	booze	disorderly
dubious	doubtful	doubt	questionable	uncertain	aware
duck	drake	pond	bird	water	goose
dump	rubbish	heap	tip	car	lump
dunce	cap	idiot	fool	stupid	hat
dung	heap	cow	horse	manure	muck
during	while	time	in	after	hours
ear	nose	eye	hear	hole	drum
ears	nose	eyes	hear	big	lobes
easiness	difficulty	simple	facility	simplicity	chair
ecology	biology	plants	life	study	school
economy	money	drive	country	government	save
edifice	building	stone	hole	statue	front
edition	book	first	paper	newspaper	last
effects	results	causes	sound	affects	drugs
electric	light	fire	iron	blanket	kettle
elevate	lift	raise	rise	high	elevator
elevator	lift	up	stairs	rise	life
ember	fire	coal	glow	burning	red
emergency	help	ambulance	exit	hospital	ward
emery	paper	board	dick	cloth	rough
emotion	love	feeling	cry	sex	tears
enamel	paint	mug	teeth	basin	bowl
enclose	envelope	surround	letter	fence	inside
enclosed	envelope	within	letter	inside	shut
engine	train	car	driver	fire	steam
engineering	science	bridge	faculty	student	degree
enjoyment	pleasure	fun	happiness	life	sex
enough	sufficient	plenty	more	said	full
enzymes	biology	chemistry	food	yeast	action
epithelium	skin	what	cells	flower	nothing
epoch	era	age	powell	time	making
er	um	queen	what	well	yes
erosion	soil	cliff	corrosion	wear	rocks
errant	knight	wandering	wrong	wander	message
ether	smell	gas	chemistry	air	chemical
ethics	morals	philosophy	religion	code	church
europe	continent	france	asia	england	america
eve	adam	christmas	night	before	day
even	odd	smooth	so	if	odds
ever	never	always	more	after	amber
evergreen	tree	holly	trees	christmas	forest
every	day	one	all	each	thing
everything	all	nothing	universe	comes	else
ewes	lambs	sheep	rams	lamb	ram
exceptionally	good	well	bright	brilliant	bad
exchange	mart	money	telephone	swap	stock
exclaim	shout	cry	yell	surprise	loudly
exclude	include	out	omit	leave	me
exercise	book	walk	gym	run	work
exhaustion	tired	fatigue	tiredness	sleep	death
existence	life	being	god	living	live
expensive	dear	cheap	taste	costly	money
experiment	test	science	chemistry	lab	try
expert	clever	specialist	knowledge	fool	good
explain	why	what	tell	reason	answer
extent	length	range	degree	expanse	great
extra	more	time	ordinary	special	also
extremely	very	nice	good	boring	difficult
eyelid	eye	eyelash	blink	lash	bat
eyes	blue	nose	ears	see	bright
facility	ease	easy	ability	amenity	convenience
factory	work	worker	chimney	act	machine
faith	hope	religion	god	belief	charity
faithfully	yours	sincerely	letter	dog	truly
falsehood	lie	truth	lies	knighthood	manhood
families	happy	children	home	father	people
famished	hungry	food	starving	hunger	starved
fang	tooth	snake	wolf	teeth	dog
farm	yard	house	cow	animal	animals
fascist	hitler	nazi	bastard	pig	swine
fashioned	old	made	clothes	fully	styled
fast	slow	quick	car	speed	man
fasten	zip	tie	belt	fix	loosen
fastest	slowest	quickest	quick	speed	car
fat	thin	man	food	obese	slim
fatigue	tired	tire	sleep	tiredness	exhaustion
fatness	obesity	thinness	obese	thin	plump
fear	hate	terror	dread	horror	pain
feathers	bird	birds	bed	white	hen
features	face	film	faces	films	nose
fee	money	pay	charge	cost	paying
feelings	emotions	hurt	emotion	love	none
fell	down	tree	dropped	hurt	over
felony	crime	squad	theft	criminal	murder
fever	hot	hay	illness	temperature	pitch
fewer	less	more	people	than	many
fickle	woman	changeable	finger	women	fate
fidelity	high	faith	trust	infidelity	love
fields	green	grass	meadows	cows	trees
fifth	sixth	dimension	fourth	avenue	column
fig	leaf	tree	date	fruit	roll
fight	battle	war	flight	punch	fist
filings	iron	teeth	metal	dentist	paper
filly	horse	foal	colt	mare	cow
finance	money	bank	company	broke	committee
finch	bird	bull	gold	chaff	blue
finder	keeper	seeker	loser	path	keepers
fine	weather	day	money	good	wet
firearm	gun	weapon	pistol	shoot	rifle
fired	sacked	gun	shot	sack	alight
firmament	heaven	earth	sky	god	heavens
fiscal	money	procurator	year	court	policy
fish	chips	sea	plaice	swim	cake
fit	well	fiddle	unfit	healthy	epileptic
five	six	ten	four	pounds	fifteen
fixed	stuck	idea	abode	assets	attached
flag	pole	day	red	wave	ship
flats	houses	high	house	block	tall
fleet	ships	street	ship	foot	navy
fling	throw	highland	away	last	kilt
flint	stone	lighter	lock	fire	hard
flip	flop	coin	side	flap	over
floats	sinks	boat	boats	cork	water
floe	ice	water	flow	river	andy
flog	beat	whip	sell	back	frog
flour	cake	bread	water	white	mill
flowery	garden	gay	perfume	shirt	hippy
foliage	leaves	green	leaf	tree	trees
follow	leader	me	lead	behind	on
foolish	stupid	silly	idiot	wise	virgins
foot	shoe	mouth	leg	toe	ball
foothold	mountain	cliff	climb	slip	step
footstool	rest	feet	chair	foot	comfort
forest	trees	tree	fire	wood	green
forestry	commission	trees	tree	wood	woods
foretell	future	prophesy	predict	fortune	gypsy
forever	always	amber	love	never	eternity
forgot	remember	remembered	memory	lost	gone
fork	knife	spoon	garden	road	eat
forms	shapes	paper	benches	school	fill
forte	piano	strong	loud	cafe	strength
fortitude	strength	bravery	luck	courage	brave
fortunate	lucky	unfortunate	happy	me	clever
found	lost	out	find	discovered	article
foundered	ship	floundered	fish	rock	sunk
fountain	water	pen	youth	spray	soda
fourth	fifth	bridge	third	form	year
fracture	break	bone	leg	broken	skull
fragile	glass	breakable	break	delicate	weak
fragment	piece	bit	part	broken	little
frame	picture	window	mind	work	glasses
frank	honest	open	earnest	man	straight
fray	fight	bentos	edge	tear	battle
freed	liberated	prison	prisoner	released	jail
freeway	road	motorway	highway	america	car
freeze	cold	ice	snow	thaw	anti
freezing	cold	ice	snow	fog	water
friar	tuck	monk	priest	church	fat
fringe	hair	edge	benefit	benefits	beyond
front	back	door	facade	face	fore
fume	smoke	anger	cupboard	smell	angry
fun	games	fair	happy	laugh	laughter
furlong	mile	distance	yard	length	horse
furtive	secret	secretive	sly	criminal	glance
fury	anger	rage	billy	tempest	wind
future	past	present	time	life	bright
gadget	device	thing	tool	kitchen	machine
gagged	bound	tied	mouth	handkerchief	robbery
gaiety	joy	girl	party	fun	laughter
gale	wind	force	storm	blow	blast
gallows	hang	hanging	tree	death	blood
game	play	sport	ball	bird	football
gap	space	hole	bridge	teeth	cumberland
garage	car	mechanic	cars	petrol	hand
garb	clothes	dress	clothing	age	greta
garden	flowers	flower	gate	lawn	seat
garments	clothes	cloths	raiment	underwear	dress
gash	cut	blood	wound	knee	tear
gasoline	petrol	america	oil	alley	car
gates	doors	hell	heaven	open	pearly
gathered	together	collected	flowers	flock	collect
gathering	people	crowd	meeting	together	clans
gazers	star	stars	look	onlookers	sky
gazing	looking	stars	look	staring	stare
geese	gander	goose	ducks	duck	bird
genteel	kind	nice	gentle	lady	refined
gentleness	kindness	kind	soft	love	tenderness
gentry	landed	lord	squire	bobby	aristocracy
genuine	real	true	false	sincere	antique
geography	history	map	school	maps	world
george	brown	best	washington	king	dragon
germany	france	hitler	war	austria	country
gesture	wave	hand	movement	sign	act
ghost	white	spirit	train	spook	phantom
gifts	presents	christmas	present	birthday	shops
give	take	up	away	donate	present
glacial	ice	icy	acetic	cold	erosion
gladness	joy	happy	happiness	sadness	sorrow
glare	sun	light	stare	bright	lights
glittering	gold	sparkle	bright	shining	sparkling
glorious	day	great	summer	sunshine	weather
glycerine	jelly	sugar	oil	thymol	chemical
gnat	fly	insect	bite	gnu	midge
goal	score	football	aim	mouth	post
goalie	football	goal	ball	banks	keeper
goats	sheep	milk	beard	herd	animals
god	heaven	man	church	good	almighty
going	gone	coming	away	out	down
golf	ball	club	clubs	tee	balls
goose	gander	mother	pimple	feathers	step
gorgeous	lovely	beautiful	girl	blonde	nice
gosh	golly	oh	surprise	wow	gee
governors	school	board	rulers	authority	bank
graft	skin	work	hard	tree	join
grates	fire	fires	coal	grinds	noise
gratify	please	thank	satisfy	thanks	sex
graves	robert	death	stones	dead	dig
gravity	newton	fall	force	pull	apple
grease	oil	paint	gun	car	monkey
greatness	smallness	might	power	big	king
greet	hello	meet	welcome	cry	smile
greeted	met	hello	hallo	hailed	friends
grill	steak	toast	bacon	food	sausages
grip	hold	tight	hand	hard	vice
gripped	held	tight	fear	grabbed	hard
grips	hair	holds	bicycle	hand	hold
groups	people	pop	music	sets	together
grow	up	plant	tall	big	bigger
grown	up	man	tall	big	adult
guilt	complex	innocence	feeling	shame	court
guiness	beer	drink	good	black	ireland
gut	stomach	rot	cat	intestine	belly
had	have	not	has	it	been
haemorrhage	blood	bleed	brain	bleeding	hospital
hairy	chest	ape	man	arm	arms
half	whole	quarter	hour	time	way
halve	whole	quarter	cut	divide	split
hamburger	onions	wimpy	food	sausage	america
hams	radio	pig	meat	legs	bacon
handed	left	given	gave	down	out
handkerchief	nose	cold	white	pocket	blow
handling	fondling	hold	money	touch	holding
hands	feet	knees	off	fingers	gloves
happening	event	now	occurrence	party	hippy
hardness	softness	soft	tough	water	solid
harlot	whore	prostitute	woman	carrot	charlotte
harmony	music	grass	discord	melody	chord
harness	horse	bridle	belt	power	rein
harpoon	whale	spear	gun	fish	weapon
hart	deer	white	heart	dear	hind
hash	mess	pot	smoke	drug	food
hasten	hurry	fast	speed	run	quick
hatch	egg	eggs	match	out	ship
hate	love	fear	anger	dislike	envy
hateful	nasty	spiteful	spite	horrid	bad
hater	lover	dislike	hated	mad	woman
he	she	is	her	him	me
head	neck	master	shoulders	body	ache
headed	goal	two	football	notepaper	ball
headlong	fall	dive	crash	down	forward
headmaster	school	teacher	cane	beak	man
healthy	fit	ill	well	sick	wealthy
hearer	listener	ear	aid	listen	deaf
