stimulus	stimulus.lemma	stimulus.freq	in_test	in_cogalex	norm	FIRST	FIRST.count	FIRST.lemma	FIRST.freq	HAPAX	HAPAX.count	HAPAX.lemma	HAPAX.freq	RANDOM	RANDOM.count	RANDOM.lemma	RANDOM.freq
accordion	accordion_n	12061	FALSE	TRUE	EAT	music	33	music_n	1832723	according	1	accord_v	1685892	mass	0	mass_n	406307
account	account_n	1517272	FALSE	FALSE	EAT	bank	29	bank_n	1224403	relate	1	relate_v	1245844	columns	0	column_n	408780
accountant	accountant_n	78942	FALSE	TRUE	EAT	money	28	money_n	3164186	add	1	add_v	3315870	cases	0	case_n	4845956
accounts	account_n	1517272	FALSE	FALSE	EAT	money	38	money_n	3164186	adds	1	add_v	3315870	again	0	again_r	3906962
accrue	accrue_v	39603	FALSE	TRUE	EAT	gather	9	gather_v	448940	forest	1	forest_n	399795	moral	0	moral_j	461255
accumulate	accumulate_v	114833	TRUE	TRUE	EAT	gather	19	gather_v	448940	cash	1	cash_n	527891	funny	0	funny_j	425649
accuracy	accuracy_n	178153	TRUE	TRUE	EAT	right	13	right_j	2031369	lost	1	lose_v	2309249	army	0	army_n	480652
accurate	accurate_j	373222	TRUE	TRUE	EAT	correct	13	correct_j	602317	dead	1	dead_j	602941	bottle	0	bottle_n	332321
accusation	accusation_n	97992	TRUE	TRUE	EAT	court	9	court_n	1505508	wrong	1	wrong_j	1411250	journeys	0	journey_n	493208
aces	aces_z	6190	FALSE	FALSE	EAT	cards	36	card_n	1249812	hearts	1	heart_n	1449265	illegal	0	illegal_j	376561
ache	ache_n	27875	TRUE	FALSE	EAT	pain	61	pain_n	787573	legs	1	leg_n	541282	impossible	0	impossible_j	503283
achieve	achieve_v	1212271	FALSE	TRUE	EAT	nothing	10	nothing_n	2190302	position	1	position_n	1905248	walking	0	walk_v	1491121
achievement	achievement_n	355452	FALSE	FALSE	EAT	success	24	success_n	1192633	degree	1	degree_n	1162386	round	0	round_n	864264
acid	acid_n	198124	TRUE	TRUE	EAT	alkali	20	alkali_n	4692	beaker	1	beaker_n	5166	skyscraper	0	skyscraper_n	16280
acids	acid_n	198124	FALSE	TRUE	EAT	alkalis	19	alkali_n	4692	esters	1	ester_n	5378	giver	0	giver_n	13580
acknowledge	acknowledge_v	385559	FALSE	FALSE	EAT	thank	6	thank_v	1062225	return	1	return_n	1042467	ships	0	ship_n	618117
acknowledged	acknowledge_v	385559	FALSE	TRUE	EAT	letter	8	letter_n	1301641	knowledge	1	knowledge_n	1464520	affairs	0	affair_n	364484
acne	acne_n	29587	TRUE	FALSE	EAT	spots	48	spot_n	562738	magazines	1	magazine_n	519409	units	0	unit_n	1174772
acorn	acorn_n	14761	TRUE	FALSE	EAT	tree	36	tree_n	1009693	growth	1	growth_n	1071350	freedom	0	freedom_n	693831
acquaintance	acquaintance_n	53288	FALSE	TRUE	EAT	friend	69	friend_n	2649811	human	1	human_j	2036587	goals	0	goal_n	1332249
acquire	acquire_v	429611	TRUE	TRUE	EAT	get	39	get_v	17986883	now	1	now_r	10097714	back	0	back_r	5679680
acquired	acquire_v	429611	FALSE	TRUE	EAT	got	27	get_v	17986883	took	1	take_v	14007250	reading	0	read_v	3604321
acrid	acrid_j	3090	FALSE	TRUE	EAT	smell	14	smell_n	131196	chemistry	1	chemistry_n	131298	jacks	0	jack_n	47624
act	act_z	935647	FALSE	FALSE	EAT	play	26	play_v	3730278	happen	1	happen_v	2958941	making	0	make_v	20005458
acted	act_v	994662	TRUE	TRUE	EAT	played	15	play_v	3730278	moved	1	move_v	3004281	gives	0	give_v	9797395
acting	act_v	994662	TRUE	TRUE	EAT	play	15	play_v	3730278	game	1	game_n	3622416	come	0	come_v	10239364
action	action_n	2289730	FALSE	FALSE	EAT	man	11	man_n	5328279	start	1	start_v	4673410	much	0	much_r	5149062
actions	action_n	2289730	FALSE	TRUE	EAT	words	22	word_n	3093684	law	1	law_n	2965533	usual	0	usual_j	520211
active	active_j	704155	TRUE	TRUE	EAT	passive	15	passive_j	87939	uranium	1	uranium_n	60965	tins	0	tin_n	84570
activities	activity_n	2059454	FALSE	FALSE	EAT	sport	14	sport_n	713620	sex	1	sex_n	694125	type	0	type_n	2310046
activity	activity_n	2059454	FALSE	FALSE	EAT	sport	7	sport_n	713620	duty	1	duty_n	714571	border	0	border_n	410704
actor	actor_n	398051	TRUE	TRUE	EAT	stage	23	stage_n	1258820	acting	1	act_v	994662	acquired	0	acquire_v	429611
acts	act_n	905992	TRUE	TRUE	EAT	apostles	19	apostle_n	71943	daft	1	daft_j	30907	fade	0	fade_v	107353
actual	actual_j	707981	FALSE	TRUE	EAT	real	41	real_j	2539551	nothing	1	nothing_n	2190302	counties	0	county_n	457233
actually	actually_r	2694583	FALSE	FALSE	EAT	really	32	really_r	5791553	bad	1	bad_j	2724059	lots	0	lot_n	4012661
acumen	acumen_n	10039	TRUE	FALSE	EAT	business	12	business_n	4153653	money	1	money_n	3164186	problem	0	problem_n	4762006
adam	adam_n	4382	FALSE	FALSE	EAT	eve	78	eve_n	37990	ale	1	ale_n	46343	barely	0	barely_r	200855
add	add_v	3315870	TRUE	FALSE	EAT	subtract	45	subtract_v	29021	deduce	1	deduce_v	27384	thrice	0	thrice_r	8381
addition	addition_n	1236750	TRUE	FALSE	EAT	subtraction	44	subtraction_n	9177	summation	1	summation_n	8790	smuggled	0	smuggle_v	24421
address	address_n	696565	FALSE	FALSE	EAT	home	36	home_n	4378069	place	1	place_n	4947476	allow	0	allow_v	3529173
adequate	adequate_j	232863	FALSE	TRUE	EAT	enough	45	enough_r	1669316	pass	1	pass_v	1790816	errors	0	error_n	675522
adhere	adhere_v	92067	TRUE	FALSE	EAT	stick	70	stick_v	659327	maintain	1	maintain_v	1155888	fathers	0	father_n	1096321
adjacent	adjacent_j	134406	TRUE	FALSE	EAT	next	21	next_j	3636485	away	1	away_r	3122952	lets	0	let_v	3295601
adjustment	adjustment_n	180531	TRUE	TRUE	EAT	change	15	change_n	3118964	car	1	car_n	2850786	youth	0	youth_n	470414
admirable	admirable_j	36535	FALSE	FALSE	EAT	good	16	good_j	14657378	great	1	great_j	6512944	looks	0	look_v	7957212
admission	admission_n	237426	TRUE	TRUE	EAT	entrance	10	entrance_n	290456	gallery	1	gallery_n	249824	vacations	0	vacation_n	145625
admit	admit_v	731822	TRUE	TRUE	EAT	confess	9	confess_v	116767	depart	1	depart_v	124389	tales	0	tale_n	271414
ado	ado_n	7510	FALSE	FALSE	EAT	much	28	much_r	5149062	man	1	man_n	5328279	good	0	good_j	14657378
adolescence	adolescence_n	21033	FALSE	TRUE	EAT	youth	30	youth_n	470414	hell	1	hell_n	392693	knowledge	0	knowledge_n	1464520
adorable	adorable_j	29337	TRUE	FALSE	EAT	lovable	14	lovable_j	10373	magi	1	magus_n	10006	squat	0	squat_j	13911
adrenaline	adrenaline_n	19532	FALSE	FALSE	EAT	blood	8	blood_n	853677	red	1	red_j	758043	space	0	space_n	1807532
adult	adult_n	721735	FALSE	TRUE	EAT	child	44	child_n	5227137	world	1	world_n	5343094	fact	0	fact_n	3539419
adults	adult_n	721735	TRUE	TRUE	EAT	children	27	child_n	5227137	women	1	woman_n	3564520	important	0	important_j	3229552
advance	advance_n	433230	FALSE	FALSE	EAT	retreat	20	retreat_n	93307	laundry	1	laundry_n	73781	pope	0	pope_n	58313
advanced	advanced_j	345175	FALSE	TRUE	EAT	forward	9	forward_r	1181216	society	1	society_n	1324364	united	0	united_z	1748286
adventure	adventure_n	273479	TRUE	TRUE	EAT	story	13	story_n	2997069	away	1	away_r	3122952	roof	0	roof_n	330745
advert	advert_n	84028	TRUE	FALSE	EAT	television	12	television_n	492711	ad	1	ad_n	516320	dream	0	dream_n	578874
advertisement	advertisement_n	112738	TRUE	FALSE	EAT	television	6	television_n	492711	waste	1	waste_n	467030	travel	0	travel_n	479347
advertising	advertising_n	314561	TRUE	FALSE	EAT	television	8	television_n	492711	appeal	1	appeal_n	493465	young	0	young_j	2512092
advice	advice_n	1027256	TRUE	FALSE	EAT	help	28	help_v	5469768	tell	1	tell_v	5152351	school	0	school_n	4196967
aeons	aeon_n	4578	FALSE	FALSE	EAT	time	16	time_n	16416069	really	1	really_r	5791553	feel	0	feel_v	4481573
afar	afar_n	12705	TRUE	TRUE	EAT	distant	21	distant_j	155093	desert	1	desert_n	153509	imaginary	0	imaginary_j	54415
affair	affair_n	364484	FALSE	FALSE	EAT	love	38	love_v	2404845	lost	1	lose_v	2309249	associations	0	association_n	418724
affairs	affair_n	364484	FALSE	TRUE	EAT	love	17	love_v	2404845	order	1	order_n	2986779	pulls	0	pull_v	904059
affect	affect_v	1122525	TRUE	TRUE	EAT	effect	12	effect_n	2258676	love	1	love_v	2404845	talk	0	talk_v	2229818
affected	affect_v	1122525	TRUE	TRUE	EAT	snob	7	snob_n	10776	diseased	1	diseased_j	15763	sewing	0	sewing_n	29875
affection	affection_n	85963	TRUE	FALSE	EAT	love	73	love_v	2404845	man	1	man_n	5328279	hotel	0	hotel_n	1021703
affirm	affirm_v	93378	FALSE	TRUE	EAT	confirm	20	confirm_v	686050	religion	1	religion_n	699859	reason	0	reason_n	2710385
affluence	affluence_n	7134	FALSE	TRUE	EAT	wealth	21	wealth_n	367933	ideal	1	ideal_j	391783	gained	0	gain_v	786338
afloat	afloat_r	18690	TRUE	TRUE	EAT	boat	18	boat_n	509259	guns	1	gun_n	570258	media	0	media_n	1501712
afraid	afraid_j	329275	FALSE	FALSE	EAT	fear	36	fear_n	661462	dark	1	dark_j	647097	view	0	view_n	2351915
africa	africa_n	4624	FALSE	FALSE	EAT	black	24	black_j	1200800	huge	1	huge_j	1050977	worse	0	bad_j	2724059
aft	aft_j	14689	FALSE	FALSE	EAT	fore	35	fore_n	30109	attic	1	attic_n	31892	prank	0	prank_n	16259
afternoon	afternoon_n	455017	TRUE	FALSE	EAT	morning	26	morning_n	1166636	rest	1	rest_n	1215905	agreeing	0	agree_v	2026357
age	age_n	1797213	TRUE	TRUE	EAT	old	25	old_j	3958155	state	1	state_n	3712826	companies	0	company_n	4211368
aged	age_v	387384	TRUE	TRUE	EAT	old	53	old_j	3958155	living	1	live_v	3607397	books	0	book_n	4210995
ageless	ageless_j	3022	FALSE	TRUE	EAT	old	24	old_j	3958155	country	1	country_n	3894717	member	0	member_n	3767825
agent	agent_n	731060	FALSE	FALSE	EAT	secret	17	secret_j	295545	advertising	1	advertising_n	314561	yachts	0	yacht_n	39706
ages	age_n	1797213	TRUE	TRUE	EAT	time	19	time_n	16416069	many	1	many_j	9186040	last	0	last_j	5396217
aggression	aggression_n	75467	FALSE	TRUE	EAT	fight	22	fight_n	438287	tough	1	tough_j	438913	sins	0	sin_n	365058
aggressive	aggressive_j	172986	FALSE	FALSE	EAT	fight	8	fight_n	438287	danger	1	danger_n	424918	wild	0	wild_j	346130
aggressor	aggressor_n	12530	FALSE	FALSE	EAT	fight	8	fight_n	438287	winner	1	winner_n	442805	ball	0	ball_n	721480
aghast	aghast_j	6213	FALSE	FALSE	EAT	shocked	10	shock_v	135783	ugly	1	ugly_j	129475	bread	0	bread_n	250763
agile	agile_j	28480	FALSE	TRUE	EAT	fit	14	fit_v	995077	animal	1	animal_n	944969	appear	0	appear_v	2382524
agitate	agitate_v	26594	TRUE	TRUE	EAT	stir	21	stir_v	151376	aggressive	1	aggressive_j	172986	gratitude	0	gratitude_n	61078
ago	ago_r	1874310	TRUE	TRUE	EAT	long	32	long_j	3187975	away	1	away_r	3122952	families	0	family_n	3782025
agony	agony_n	35378	FALSE	FALSE	EAT	pain	46	pain_n	787573	cut	1	cut_v	1239950	codes	0	code_n	1044533
agree	agree_v	2026357	TRUE	FALSE	EAT	disagree	20	disagree_v	254457	differ	1	differ_v	267270	beads	0	bead_n	58372
agriculture	agriculture_n	151439	TRUE	FALSE	EAT	farm	24	farm_n	497525	farmers	1	farmer_n	403369	parties	0	party_n	2125883
aground	aground_r	4701	TRUE	TRUE	EAT	ship	31	ship_n	618117	rocks	1	rock_n	636473	wished	0	wish_v	1229015
aid	aid_n	446771	TRUE	TRUE	EAT	help	41	help_v	5469768	held	1	hold_v	3222513	find	0	find_v	9470794
ail	ail_v	7047	FALSE	FALSE	EAT	ill	26	ill_j	176914	poorly	1	poorly_r	131441	loaves	0	loaf_n	34739
aim	aim_n	421238	FALSE	FALSE	EAT	fire	22	fire_n	995751	fine	1	fine_j	911516	destroyed	0	destroy_v	638283
air	air_n	1167823	FALSE	TRUE	EAT	plane	10	plane_n	383149	port	1	port_n	309239	meeting	0	meeting_n	1575972
aircraft	aircraft_n	315314	FALSE	FALSE	EAT	plane	20	plane_n	383149	engineering	1	engineering_n	376084	price	0	price_n	2133130
airport	airport_n	333472	FALSE	FALSE	EAT	plane	23	plane_n	383149	travel	1	travel_n	479347	dates	0	date_n	1287992
airy	airy_j	23338	TRUE	TRUE	EAT	fairy	35	fairy_j	33872	windy	1	windy_j	31755	pads	0	pad_n	140938
ajar	ajar_r	1944	FALSE	TRUE	EAT	open	52	open_j	1569726	doors	1	door_n	1306343	direction	0	direction_n	872683
alan	alan_n	1436	TRUE	FALSE	EAT	ladd	9	ladd_z	4092	david	1	david_n	3953	humps	0	hump_n	13974
alarm	alarm_n	173078	FALSE	FALSE	EAT	clock	34	clock_n	291580	warning	1	warning_n	318124	guitar	0	guitar_n	275750
alchemy	alchemy_n	12116	TRUE	TRUE	EAT	gold	24	gold_n	390427	medicine	1	medicine_n	379438	campaign	0	campaign_n	1023610
alcohol	alcohol_n	328714	TRUE	FALSE	EAT	drink	27	drink_n	428140	pleasure	1	pleasure_n	349703	burn	0	burn_v	407303
alcoholic	alcoholic_j	34854	TRUE	FALSE	EAT	drink	22	drink_n	428140	hurt	1	hurt_v	381244	rain	0	rain_n	336628
alcoholism	alcoholism_n	20426	FALSE	TRUE	EAT	drink	26	drink_n	428140	dangerous	1	dangerous_j	466280	walls	0	wall_n	966743
alderman	alderman_n	5662	FALSE	FALSE	EAT	mayor	22	mayor_n	105284	clerk	1	clerk_n	89140	rant	0	rant_n	51058
ale	ale_n	46343	FALSE	TRUE	EAT	beer	33	beer_n	322852	hurt	1	hurt_v	381244	purchases	0	purchase_n	377687
ales	ale_n	46343	TRUE	TRUE	EAT	beer	38	beer_n	322852	wings	1	wing_n	322850	lawyer	0	lawyer_n	430370
algebra	algebra_n	33394	TRUE	FALSE	EAT	maths	34	math_n	201732	arab	1	arab_j	165972	cardboard	0	cardboard_n	36435
alien	alien_j	97524	TRUE	TRUE	EAT	foreign	33	foreign_j	677265	citizen	1	citizen_n	654599	driver	0	driver_n	851962
alienate	alienate_v	46063	TRUE	FALSE	EAT	enemy	10	enemy_n	538968	german	1	german_j	549553	roots	0	root_n	440277
alight	alight_j	5724	FALSE	FALSE	EAT	fire	17	fire_n	995751	fine	1	fine_j	911516	counting	0	count_v	451044
alike	alike_r	153127	FALSE	TRUE	EAT	similar	32	similar_j	1553978	faces	1	face_n	1211401	tip	0	tip_n	495894
alimentary	alimentary_j	1523	TRUE	TRUE	EAT	canal	60	canal_n	117671	mount	1	mount_z	118995	overseas	0	overseas_j	106739
alive	alive_j	268707	TRUE	TRUE	EAT	dead	56	dead_j	602941	healthy	1	healthy_j	615981	blood	0	blood_n	853677
alley	alley_n	41586	FALSE	TRUE	EAT	cat	21	cat_n	442868	opening	1	opening_n	457150	streets	0	street_n	986866
allotment	allotment_n	32607	FALSE	TRUE	EAT	garden	42	garden_n	770673	park	1	park_n	665681	planets	0	planet_n	453822
allow	allow_v	3529173	TRUE	TRUE	EAT	permit	27	permit_v	395162	grant	1	grant_n	400209	figure	0	figure_n	1128644
allowance	allowance_n	133347	TRUE	TRUE	EAT	money	52	money_n	3164186	month	1	month_n	3436240	levels	0	level_n	3463312
allure	allure_n	10561	FALSE	TRUE	EAT	attract	7	attract_v	494631	appeal	1	appeal_n	493465	defend	0	defend_v	455803
ally	ally_n	166582	FALSE	TRUE	EAT	friend	36	friend_n	2649811	houses	1	house_n	2417783	suffer	0	suffer_v	882696
almighty	almighty_z	29140	FALSE	FALSE	EAT	god	80	god_n	396306	supreme	1	supreme_z	251788	designer	0	designer_n	391316
almond	almond_j	17206	FALSE	TRUE	EAT	nut	36	nut_n	160133	chocolate	1	chocolate_n	218297	rolls	0	roll_n	224932
almost	almost_r	2056747	FALSE	FALSE	EAT	nearly	35	nearly_r	944403	complete	1	complete_j	922371	beach	0	beach_n	478465
alone	alone_r	925725	TRUE	TRUE	EAT	together	13	together_r	2441610	room	1	room_n	2515429	coolest	0	cool_j	442160
aloud	aloud_r	36790	TRUE	FALSE	EAT	noise	12	noise_n	414912	sing	1	sing_v	437976	german	0	german_j	549553
alphabet	alphabet_n	38421	FALSE	TRUE	EAT	letters	27	letter_n	1301641	nothing	1	nothing_n	2190302	stick	0	stick_v	659327
already	already_r	2714403	TRUE	FALSE	EAT	now	38	now_r	10097714	come	1	come_v	10239364	used	0	use_v	14988781
altar	altar_n	62868	TRUE	TRUE	EAT	church	39	church_n	1322101	steps	1	step_n	1354828	object	0	object_n	1051399
alter	alter_v	256514	TRUE	FALSE	EAT	change	52	change_n	3118964	nothing	1	nothing_n	2190302	sentence	0	sentence_n	440372
alternate	alternate_j	86613	TRUE	FALSE	EAT	other	13	other_j	13784439	way	1	way_n	9559871	helped	0	help_v	5469768
alternative	alternative_j	337778	FALSE	TRUE	EAT	other	34	other_j	13784439	also	1	also_r	14860326	kept	0	keep_v	4568254
always	always_r	3883047	FALSE	FALSE	EAT	never	52	never_r	4310930	back	1	back_r	5679680	knowing	0	know_v	11783600
amaze	amaze_v	132345	TRUE	FALSE	EAT	surprise	16	surprise_n	362216	laugh	1	laugh_v	348053	guy	0	guy_n	1267613
amazement	amazement_n	20190	TRUE	TRUE	EAT	surprise	26	surprise_n	362216	funny	1	funny_j	425649	cancer	0	cancer_n	708673
amber	amber_z	30168	TRUE	TRUE	EAT	red	14	red_j	758043	flies	1	fly_v	742469	picked	0	pick_v	1123992
ambition	ambition_n	140772	TRUE	TRUE	EAT	none	12	none_n	693839	progress	1	progress_n	700176	covered	0	cover_v	1742550
amble	amble_v	5958	FALSE	TRUE	EAT	walk	34	walk_v	1491121	eat	1	eat_v	1280233	tying	0	tie_v	322102
ambulance	ambulance_n	71426	TRUE	FALSE	EAT	accident	19	accident_n	451338	aid	1	aid_n	446771	separate	0	separate_j	588683
amen	amen_n	246	TRUE	FALSE	EAT	prayer	21	prayer_n	351624	relief	1	relief_n	324955	branches	0	branch_n	403102
amends	amends_n	10671	TRUE	FALSE	EAT	make	27	make_v	20005458	good	1	good_j	14657378	written	0	write_v	4681611
america	america_n	13562	TRUE	FALSE	EAT	canada	9	canada_n	10992	drugged	1	drug_v	12265	boob	0	boob_n	18234
american	american_j	1383335	TRUE	FALSE	EAT	yank	17	yank_v	19740	flashy	1	flashy_j	17120	pardon	0	pardon_n	23835
amethyst	amethyst_n	2668	FALSE	TRUE	EAT	stone	31	stone_n	526699	boat	1	boat_n	509259	divide	0	divide_v	382449
amiable	amiable_j	10041	TRUE	FALSE	EAT	friendly	27	friendly_j	521740	lovely	1	lovely_j	496929	failing	0	fail_v	1330566
ammunition	ammunition_n	53954	FALSE	TRUE	EAT	guns	29	gun_n	570258	battle	1	battle_n	577175	waves	0	wave_n	413931
amnesia	amnesia_n	11169	FALSE	FALSE	EAT	forget	22	forget_v	867143	suffer	1	suffer_v	882696	links	0	link_n	1397508
amok	amok_r	5402	TRUE	TRUE	EAT	run	32	run_v	3835017	books	1	book_n	4210995	smallest	0	small_j	3957736
amount	amount_n	1616754	TRUE	FALSE	EAT	money	30	money_n	3164186	add	1	add_v	3315870	very	0	very_r	9750859
ample	ample_j	77800	FALSE	TRUE	EAT	enough	29	enough_r	1669316	amount	1	amount_n	1616754	output	0	output_n	460909
amputate	amputate_v	8712	TRUE	FALSE	EAT	leg	27	leg_n	541282	injury	1	injury_n	598786	fishes	0	fish_n	710974
amputation	amputation_n	11637	TRUE	FALSE	EAT	leg	39	leg_n	541282	accident	1	accident_n	451338	package	0	package_n	546103
amulet	amulet_n	6906	FALSE	TRUE	EAT	ring	9	ring_n	351951	chain	1	chain_n	398635	heard	0	hear_v	2687501
amuse	amuse_v	46789	TRUE	FALSE	EAT	laugh	21	laugh_v	348053	comedy	1	comedy_n	222901	memories	0	memory_n	916457
amusement	amusement_n	45384	FALSE	FALSE	EAT	arcade	34	arcade_n	41095	trolley	1	trolley_n	31854	wells	0	wells_z	83195
amusing	amusing_j	69289	FALSE	FALSE	EAT	funny	61	funny_j	425649	gay	1	gay_j	307544	property	0	property_n	1941569
analogy	analogy_n	99400	TRUE	TRUE	EAT	similar	11	similar_j	1553978	computers	1	computer_n	1384473	achievement	0	achievement_n	355452
analysis	analysis_n	1070573	FALSE	FALSE	EAT	chemistry	10	chemistry_n	131298	misleading	1	mislead_v	141688	repair	0	repair_n	305995
anarchist	anarchist_n	68727	TRUE	TRUE	EAT	politics	5	politics_n	547260	trouble	1	trouble_n	563294	faster	0	fast_r	630657
anarchy	anarchy_n	23080	TRUE	FALSE	EAT	chaos	7	chaos_n	113053	hierarchy	1	hierarchy_n	100539	continents	0	continent_n	139775
anatomy	anatomy_n	44652	FALSE	FALSE	EAT	body	39	body_n	2406735	study	1	study_n	2523050	occur	0	occur_v	1180686
anchor	anchor_n	66964	FALSE	TRUE	EAT	ship	27	ship_n	618117	heavy	1	heavy_j	623357	dropped	0	drop_v	804332
ancient	ancient_j	462087	FALSE	FALSE	EAT	old	28	old_j	3958155	law	1	law_n	2965533	something	0	something_n	4313933
anew	anew_r	19703	TRUE	TRUE	EAT	again	33	again_r	3906962	book	1	book_n	4210995	goes	0	go_v	15724552
angel	angel_z	97910	FALSE	FALSE	EAT	heaven	20	heaven_n	298086	wing	1	wing_n	322850	thumb	0	thumb_n	97135
angels	angel_n	175415	TRUE	FALSE	EAT	heaven	23	heaven_n	298086	holy	1	holy_z	305940	welsh	0	welsh_j	105325
anger	anger_n	199456	FALSE	FALSE	EAT	hate	9	hate_v	475426	sad	1	sad_j	348948	pretty	0	pretty_r	1331936
angle	angle_n	265718	FALSE	TRUE	EAT	fish	12	fish_n	710974	camera	1	camera_n	844115	recent	0	recent_j	1580945
angry	angry_j	236016	TRUE	TRUE	EAT	mad	11	mad_j	172826	bee	1	bee_n	179691	digest	0	digest_v	41845
angst	angst_n	17733	FALSE	FALSE	EAT	fear	11	fear_n	661462	worry	1	worry_v	684185	turning	0	turn_v	2906274
anguish	anguish_n	24721	FALSE	FALSE	EAT	pain	30	pain_n	787573	content	1	content_n	987391	experiments	0	experiment_n	435868
animal	animal_n	944969	TRUE	FALSE	EAT	dog	12	dog_n	1284045	plant	1	plant_n	1141599	bridges	0	bridge_n	385304
ankle	ankle_n	68085	FALSE	TRUE	EAT	foot	28	foot_n	1299979	pretty	1	pretty_r	1331936	decisions	0	decision_n	1927451
